关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,news_type
macro,害怕重蹈俄罗斯覆辙？印度央行加速将海外黄金运回国内,资产管理公司Pinetree Macro的创始人Ritesh Jain表示：“在当下这个国际法被无视、G7国家公然冻结他国外汇储备的世界里,2025-10-29 17:22:36,财联社,http://finance.eastmoney.com/a/202510293548589460.html,macro
macro,从“天花板”到“基准线”：美股多头吹响标普7000点冲锋号,Macro Risk Advisors的首席技术策略师John Kolovos解读称，标普500指数的下一个阻力位在7000,2025-10-28 20:13:29,财联社,http://finance.eastmoney.com/a/202510283547184783.html,macro
macro,每日机构分析：10月28日,Renaissance Macro首席经济学家Neil Dutta指出，若本周再度降息25个基点，其风险可控性将与之相当。,2025-10-28 16:39:45,新华财经,http://finance.eastmoney.com/a/202510283546863310.html,macro
macro,阿根廷股债汇集体狂飙 发生了什么？,加利西亚金融(GGAL.US)跃升35%，Grupo Supervielle(SUPV.US)上涨31%，Banco Macro,2025-10-28 15:48:24,第一财经,http://finance.eastmoney.com/a/202510283546779026.html,macro
macro,京东汽车玩疯了，车踢球看到过吗？,该产品采用第三代Black Chili赛道级橡胶配方与Macro-blocks抓地花纹设计，在干湿地操控和制动性能上相较前代产品实现全面提升,2025-10-28 15:13:47,上观新闻,http://finance.eastmoney.com/a/202510283546745259.html,macro
macro,三大运营商发力新场景 卫星通信业务商业化提速,其中，通宇通讯发布了Macro WiFi产品，该产品能够打通卫星网络与地面通信的链路通道，实现与星链等卫星的互联，单个设备可实现两公里范围的网络覆盖,2025-10-23 01:19:19,证券时报,http://finance.eastmoney.com/a/202510233541501253.html,macro
macro,通宇通讯发布Macro WiFi产品 全链路参与卫星通信基础建设,中证报中证网讯（王珞）10月16日下午，通宇通讯成功举办“通天寰宇，智创未来”发布会，会上正式发布Macro WiFi,2025-10-17 18:28:51,中国证券报·中证网,http://finance.eastmoney.com/a/202510173537391387.html,macro
macro,通宇通讯发布Macro WiFi产品 全链路助力卫星通信基建,10月16日通宇通讯(002792)举办“通天寰宇，智创未来”发布会，会上公司正式发布Macro WiFi产品，并详细介绍公司在卫星通信领域的布局和进展,2025-10-17 12:32:01,证券时报网,http://finance.eastmoney.com/a/202510173537080730.html,macro
macro,通宇通讯正式发布Micro WiFi产品 全链路参与卫星通信基础建设,10月16日下午，广东通宇通讯股份有限公司（以下简称“通宇通讯”）成功举办“通天寰宇，智创未来”发布会，会上公司正式发布Macro,2025-10-17 19:05:30,证券日报,http://finance.eastmoney.com/a/202510173537423186.html,macro
macro,法国政坛“黑天鹅”持续扰动市场！法国国债市场遭遇猛烈抛售,咨询公司LB Macro的创始人Luigi Buttiglione表示，勒科尔尼的辞职“将法国推向未知” ，法国经济将受到商界信心明显丧失的影响,2025-10-08 00:02:09,券商中国,http://finance.eastmoney.com/a/202510073528621494.html,macro
macro,总理“闪电”辞职震撼金融市场 马克龙政府再陷财政困局与政治真空,咨询公司LB Macro的创始人Luigi Buttiglione表示，勒科尔尼的辞职“将法国推向未知” ，该国经济将受到商界信心明显丧失的影响,2025-10-06 18:40:09,财联社,http://finance.eastmoney.com/a/202510063528499133.html,macro
macro,通宇通讯与澳大利亚客户签署Macro WiFi产品批量供应协议,上证报中国证券网讯（记者王子霖）据通宇通讯官方公众号9月25日消息，公司近日与澳大利亚客户正式签署Macro WiFi产品批量供应协议,2025-09-25 17:37:29,上海证券报·中国证券网,http://finance.eastmoney.com/a/202509253523689181.html,macro
macro,华尔街驳斥米兰“大幅降息论”：论据存疑、不完整、毫无说服力！,Renaissance Macro Research经济主管Neil Dutta认为中性利率可能略低于美联储所认为的水平，,2025-09-30 17:03:57,财联社,http://finance.eastmoney.com/a/202509303527478542.html,macro
macro,21特写｜中国00后AI创业 “第一天就瞄准出海”,美国智库 Macro Polo 在2023年发布的一份报告显示，全球顶尖AI研究者中47%来自中国，美国顶级AI人才中约75%,2025-09-25 12:35:23,21世纪经济报道,http://finance.eastmoney.com/a/202509253523940821.html,macro
macro,通宇通讯：Macro WiFi在阿联酋、缅甸等多国都有小批量订单,人民财讯8月15日电，通宇通讯8月15日在互动平台回复称，Macro WiFi是公司针对户外复杂场景的网络通信痛点，特别研发的产品,2025-08-15 15:26:12,人民财讯,http://finance.eastmoney.com/a/202508153485378943.html,macro
macro,专访知名投资人拉斯·特维德：中国将在AI竞争中占据有利位置,他还是Atlas Global Macro对冲基金的创始人，该基金2025年迄今收益率已超20%。,2025-09-21 20:26:17,21世纪经济报道,http://finance.eastmoney.com/a/202509213519228870.html,macro
macro,降息大消息！美联储重磅时刻来袭！贝莱德高管成为热门人选之一,复兴宏观研究公司（Renaissance Macro Research）首席经济学家Neil Dutta在报告中写道：“美联储下周也许可以降息,2025-09-14 10:14:44,券商中国,http://finance.eastmoney.com/a/202509143512983121.html,macro
macro,连续降息？德意志银行和摩根士丹利紧急调整美联储利率预测,复兴宏观研究公司（Renaissance Macro Research）首席经济学家杜塔（Neil Dutta）在报告中写道,2025-09-13 08:53:31,第一财经,http://finance.eastmoney.com/a/202509133512874077.html,macro
