关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,stock_code
600000,A股高开高走单边上行 沪指收盘站稳4000点：半导体板块大幅上涨,银行股逆市走低，厦门银行（601187）跌近3%，浦发银行（600000）、青岛银行（002948）、招商银行（600036,2025-11-06 15:26:01,澎湃新闻,http://finance.eastmoney.com/a/202511063557008728.html,600000
600000,工商银行股价创历史新高，机构热议年末“估值切换”行情,除工行外，浦发银行（600000.SH）、沪农商行（601825.SH）、宁波银行（002142.SZ）、南京银行（601009,2025-11-05 20:05:48,21世纪经济报道,http://finance.eastmoney.com/a/202511053556069310.html,600000
000001,25股受融资客青睐，净买入超亿元,0.4215064.381770266.580.99食品饮料002384东山精密-0.1015033.82608988.466.35电子000001,2025-11-05 09:31:01,证券时报网,http://finance.eastmoney.com/a/202511053555582378.html,000001
000002,162股今日获机构买入评级,1.2014.99纺织服饰300628亿联网络1-1.9317.25通信300633开立医疗1-0.87277.26医药生物000002,2025-11-04 17:35:39,证券时报网,http://finance.eastmoney.com/a/202511043554747048.html,000002
000001,主力动向：11月4日特大单净流出518.32亿元,子300058蓝色光标7.863.692.84传媒000001平安银行11.591.402.,2025-11-04 17:13:25,证券时报网,http://finance.eastmoney.com/a/202511043554728032.html,000001
600000,险资三季度A股调仓动向：一手加码“压舱石”银行股，一手增配科技股要收益,浦发银行（600000.SH）、兴业银行（601166.SH）、招商银行（600036.SH）、农业银行（601288.SH,2025-11-03 19:27:02,界面新闻,http://finance.eastmoney.com/a/202511033553659375.html,600000
000001,险资三季度A股调仓动向：一手加码“压舱石”银行股，一手增配科技股要收益,除去平安系对于中国平安、平安银行（000001.SZ），,2025-11-03 19:27:02,界面新闻,http://finance.eastmoney.com/a/202511033553659375.html,000001
000001,上市银行三季报扫描：万亿城商行再添一员，营收增速三年来首度转正,值得注意的是，平安银行（000001.SZ）总资产相比去年末微降25亿元，是唯一一家缩表的上市银行，主要因为个人贷款收缩，,2025-11-03 19:13:59,界面新闻,http://finance.eastmoney.com/a/202511033553652824.html,000001
600000,上市银行三季报扫描：万亿城商行再添一员，营收增速三年来首度转正,中信银行（601998.SH）、浦发银行（600000.SH）资产规模有望在今年底明年初突破10万亿。,2025-11-03 19:13:59,界面新闻,http://finance.eastmoney.com/a/202511033553652824.html,600000
000001,银行ETF指数(512730)涨超1.2%，三季度险资频繁增持银行,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-11-03 10:48:59,界面新闻,http://finance.eastmoney.com/a/202511033553291088.html,000001
600000,银行ETF指数(512730)涨超1.2%，三季度险资频繁增持银行,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-11-03 10:48:59,界面新闻,http://finance.eastmoney.com/a/202511033553291088.html,600000
000002,万科获深铁集团220亿元借款额度，三季度亏损160亿,11月2日晚，万科A（000002.SZ）发布公告称，公司与主要股东深圳地铁集团（以下简称“深铁集团”）订立贷款框架协议,2025-11-03 10:08:11,界面新闻,http://finance.eastmoney.com/a/202511033553249714.html,000002
000002,深铁集团向万科提供不超220亿元借款额度,11月2日，万科A（000002）宣布与第一大股东深圳市地铁集团有限公司（简称“深铁集团”）签署《关于股东借款及资产担保的框架协议,2025-11-03 02:00:51,证券时报,http://finance.eastmoney.com/a/202511033552814538.html,000002
000002,万科与深铁集团就220亿股东借款签资产担保框架协议：要求提供增信安排,11月2日，万科企业股份有限公司（000002.SZ）发布公告称，当日，万科已与第一大股东深圳市地铁集团有限公司（简称,2025-11-02 23:05:05,澎湃新闻,http://finance.eastmoney.com/a/202511023552770673.html,000002
000002,万科A获第一大股东深铁集团鼎力支持 提供不超过220亿元借款额度,万科A（000002/02202）发布公告，公司与第一大股东深铁集团于2025年11月2日签署了《关于股东借款及资产担保的框架协议,2025-11-02 19:05:28,财中社,http://finance.eastmoney.com/a/202511023552716749.html,000002
000002,万科最新公告！事关深铁集团借款，本金不超过220亿！,万科A（000002）11月2日公告，公司于11月2日与第一大股东深铁集团签署《关于股东借款及资产担保的框架协议》。,2025-11-02 18:10:06,证券时报,http://finance.eastmoney.com/a/202511023552711549.html,000002
000002,万科A：深铁集团拟向公司提供不超过220亿元借款额度,人民财讯11月2日电，万科A00000211月2日公告，公司于11月2日与第一大股东深铁集团签署《关于股东借款及资产担保的框架协议,2025-11-02 17:06:56,人民财讯,http://finance.eastmoney.com/a/202511023552703927.html,000002
