关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,news_type
report,全球需求激增！一图梳理燃气轮机概念股,美国能源部报告《2024 United States Data Center Energy Usage Report》显示,2025-11-06 17:47:59,东方财富研究中心,http://finance.eastmoney.com/a/202511063557143365.html,report
announcement,人福医药：连续7日融资净买入累计1.18亿元（11-05）,人福医药融资融券信息显示，2025年11月5日融资净买入1624.02万元；融资余额8.71亿元，较前一日增加1.9%。融资方面，当日融资买入5095.73万元，融资偿还3471.71万元，融资净买入1624.02万元，连续7日净买入累计1.18亿元。融券方面，融券卖出0股，融券偿还1.4万股，融券余量25.41万股，融券余额515.82万元。融资融券余额合计8.76亿元。人福医药融资融券交易明细（11-05）人福医药历史融资融券数据一览,2025-11-06 07:35:07,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556265013.html,announcement
announcement,亚星锚链：连续3日融资净买入累计9465.99万元（11-05）,亚星锚链融资融券信息显示，2025年11月5日融资净买入3035.32万元；融资余额4.69亿元，较前一日增加6.92%。融资方面，当日融资买入1.24亿元，融资偿还9376万元，融资净买入3035.32万元，连续3日净买入累计9465.99万元。融券方面，融券卖出5.36万股，融券偿还2.43万股，融券余量22.67万股，融券余额253.22万元。融资融券余额合计4.72亿元。亚星锚链融资融券交易明细（11-05）亚星锚链历史融资融券数据一览,2025-11-06 07:34:30,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556261450.html,announcement
announcement,仁度生物：融资净买入180.15万元，融资余额3372.07万元（11-05）,仁度生物融资融券信息显示，2025年11月5日融资净买入180.15万元；融资余额3372.07万元，较前一日增加5.64%。融资方面，当日融资买入469.39万元，融资偿还289.24万元，融资净买入180.15万元。融券方面，融券卖出0股，融券偿还0股，融券余量0股，融券余额0元。融资融券余额合计3372.07万元。仁度生物融资融券交易明细（11-05）仁度生物历史融资融券数据一览,2025-11-06 07:34:27,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556261068.html,announcement
announcement,马钢股份：融资净偿还2207.98万元，融资余额7.08亿元（11-05）,马钢股份融资融券信息显示，2025年11月5日融资净偿还2207.98万元；融资余额7.08亿元，较前一日下降3.02%。融资方面，当日融资买入4611.04万元，融资偿还6819.01万元，融资净偿还2207.98万元。融券方面，融券卖出33.27万股，融券偿还1200股，融券余量89.26万股，融券余额364.18万元。融资融券余额合计7.12亿元。马钢股份融资融券交易明细（11-05）马钢股份历史融资融券数据一览,2025-11-06 07:34:16,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556260562.html,announcement
announcement,东方电气：融资余额19.93亿元，创近一年新高（11-05）,东方电气融资融券信息显示，2025年11月5日融资净买入3637.06万元；融资余额19.93亿元，创近一年新高，较前一日增加1.86%。融资方面，当日融资买入3.75亿元，融资偿还3.38亿元，融资净买入3637.06万元。融券方面，融券卖出4.44万股，融券偿还5.04万股，融券余量23.58万股，融券余额524.18万元。融资融券余额合计19.99亿元。东方电气融资融券交易明细（11-05）东方电气历史融资融券数据一览,2025-11-06 07:33:53,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556258115.html,announcement
announcement,晶科科技：融资净偿还17.33万元，融资余额6.66亿元（11-05）,晶科科技融资融券信息显示，2025年11月5日融资净偿还17.33万元；融资余额6.66亿元，较前一日下降0.03%。融资方面，当日融资买入4496.39万元，融资偿还4513.72万元，融资净偿还17.33万元。融券方面，融券卖出5.26万股，融券偿还5500股，融券余量33.28万股，融券余额123.47万元。融资融券余额合计6.67亿元。晶科科技融资融券交易明细（11-05）晶科科技历史融资融券数据一览,2025-11-06 07:33:43,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556257063.html,announcement
announcement,妙可蓝多：融资净偿还162.72万元，融资余额4.15亿元（11-05）,妙可蓝多融资融券信息显示，2025年11月5日融资净偿还162.72万元；融资余额4.15亿元，较前一日下降0.39%。融资方面，当日融资买入1293.68万元，融资偿还1456.39万元，融资净偿还162.72万元。融券方面，融券卖出0股，融券偿还800股，融券余量3.17万股，融券余额79.15万元。融资融券余额合计4.16亿元。妙可蓝多融资融券交易明细（11-05）妙可蓝多历史融资融券数据一览,2025-11-06 07:33:42,东方财富Choice数据,http://finance.eastmoney.com/a/202511063556256959.html,announcement
announcement,Krafton官宣《幻兽帕鲁》手游2025Q4开启测试；腾讯代理发行游戏《终极角逐》定于11月18日公测丨游戏早参,玩家可通过腾讯先锋云游戏平台等官方渠道参与抢注。作为海外爆款《THE FINALS》的国服版本，《终极角逐》的核心竞争力备受行业关注。据官方披露，该游戏标志性的高自由度地形破坏系统成为差异化亮点——玩家可通过爆炸物、技能等手段破坏场景中的墙体、楼板等结构，既能创造进攻通道，也可构建防御屏障，结合夺金对抗的核心玩法形成“战术拆迁”的独特体验。点评：对于腾讯及整个游戏板块而言，《终极角逐》的公测有望成为资本市场的重要情绪催化点。从腾讯业务结构看，射击类游戏是其游戏板块的核心营收支柱，《和平精英》《穿越火线》等产品长期占据国内市场主导地位，但近年面临新品迭代不足的增长压力。此次代理的《终极角逐》作为成熟IP，其落地标志着腾讯在射击赛道的新品储备进入实质释放阶段。NO.3 《光与夜之恋》官宣查理苏配音演员更替11月5日，腾讯北极光工作室旗下现象级乙女向恋爱手游《光与夜之恋》官方发布公告称，受配音演员吴磊身体状况影响，他将正式卸任核心角色“查理苏”的配音工作。公告同时披露，接任配音演员的筛选与试音工作已全面启动，项目组将“以角色契合度为核心，审慎推进后续工作”，引发玩家社群与资本市场的高度关注。,2025-11-06 07:21:25,每日经济新闻,http://finance.eastmoney.com/a/202511063556244557.html,announcement
announcement,苹果公司或引入谷歌AI技术 明年春季推出新款Siri语音助手,11月6日，据报道，苹果公司计划使用谷歌开发的一款拥有1.2万亿参数的人工智能模型，来助力其长期承诺的Siri语音助手全面升级。两家公司正敲定一项协议，其中苹果将每年向谷歌支付约10亿美元以使用该技术。新款Siri预计将于明年春季发布。,2025-11-06 07:19:45,界面新闻,http://finance.eastmoney.com/a/202511063556242949.html,announcement
